id,product,image
dc35fbc0-aff0-45de-9e94-7b24752e9ab4,d8ec9bba-15d3-4748-a8d4-7450f5d6d592,product_images/A realistic toy kitchen set designed for kids. It includes miniature pots
92133264-aba1-4170-8b6e-011459858a6d,d8ec9bba-15d3-4748-a8d4-7450f5d6d592,product_images/A realistic Hot Wheels race track with multiple loops and ramps. Small
8cf17aaa-c501-4450-b3f3-f890fc741390,3cc5b540-2a20-4e3b-a1e6-d4d19b9f6590,product_images/A realistic Play-Doh set with multiple colorful clay containers
936e7c03-4525-46e5-8109-5ac57c27d97f,3cc5b540-2a20-4e3b-a1e6-d4d19b9f6590,product_images/A realistic Fisher-Price toy set featuring colorful interactive elements like buttons
9e413d33-bd65-410a-8f89-93a0a1fbd4b4,858257fe-2471-4e1a-9b13-6be9edb1deec,product_images/A realistic family board game set displayed on a table. The set includes a colorful game board
9ea35d2c-5e37-4af7-a805-385c3e827e53,858257fe-2471-4e1a-9b13-6be9edb1deec,product_images/A realistic RC car set featuring a high-speed remote-controlled car with rugged tires. The set includes a remote control and charging accessories. The.webp
bcca8cab-dd4b-4a15-a553-1da34278a4f7,858257fe-2471-4e1a-9b13-6be9edb1deec,product_images/A realistic LEGO building set featuring a colorful construction with miniature bricks. The set includes small characters
ef94b11c-f516-40c6-9bda-ff8fa8ea9c5b,3d045768-54a5-4caf-930b-299fef7282b4,product_images/A realistic stuffed teddy bear with soft fur
a4574b49-0f09-4b79-ae59-5ac847f243e4,3d045768-54a5-4caf-930b-299fef7282b4,product_images/A realistic dollhouse set featuring a multi-story miniature home with furniture and tiny dolls. The house includes detailed rooms like a kitchen
641072c7-c4a0-4c93-87df-f54786c20037,ab6a196a-3ceb-4af6-96ac-0eae6bde1f41,product_images/A realistic science experiment kit for kids
ecf98315-c43d-4697-9fd0-87af8fb23f0c,ab6a196a-3ceb-4af6-96ac-0eae6bde1f41,product_images/A realistic musical toy set for kids
2a36d472-9ad9-460b-bcbb-8d0d82439f2b,9a83a072-b050-495c-8114-bc162ac3b93d,product_images/A realistic remote-controlled drone toy designed for kids
